"Product","Status","Automotive Recommended","Description","# per Package","GBWP (kHz)","Iq Typical (µA)","Iq Max (µA)","Vos Max (µV)","Operating Voltage Range (V) ","Input Voltage Noise Density (nV/rt(Hz))","PSRR Min (dB)","CMRR Min (dB)","ΔVos/ΔTa (µV/°C)","Ib (pA)","Aol (dB)","PM (deg)","Isc (mA)","Rail-To-Rail","Unity Gain Stable","Slew Rate (V/µS)","EMI Protection","Packages","5K Pricing"
"MCP6295"," In Production "," Yes"," Linear Op Amps"," 2"," 10000"," 1000"," 1300"," 3000"," ""2.4 - 6.0"""," 8.7"," 70"," 65"," 1.7"," 1"," 110"," 65"," 25"," In/Out"," Yes"," 7","  "," 8/PDIP 8/SOIC 150mil 8/MSOP","$0.65"
"MCP6021"," In Production "," Yes"," Linear Op Amps"," 1"," 10000"," 1000"," 1350"," 250"," ""2.5 - 5.5"""," 8.7"," 74"," 74"," 3.5"," 1"," 110"," 65"," 30"," In/Out"," Yes"," 7","  "," 8/PDIP 8/SOIC 150mil 8/TSSOP 5/SOT-23 8/MSOP","$0.74"
"MCP6021R"," In Production "," Yes"," Linear Op Amps"," 1"," 10000"," 1000"," 1350"," 250"," ""2.5 - 5.5"""," 8.7"," 74"," 74"," 3.5"," 1"," 110"," 65"," 30"," In/Out"," Yes"," 7","  "," 5/SOT-23","$0.74"
"MCP6H91"," In Production "," Yes"," Linear Op Amps"," 1"," 10000"," 2000"," 2800"," 4000"," ""3.5 - 12"""," 23"," 94"," 98"," 2.5"," 10"," 115"," 60"," 43"," Out"," Yes"," 10","  "," 8/SOIC 150mil 8/TDFN","$0.74"
"MCP6023"," In Production "," Yes"," Linear Op Amps"," 1"," 10000"," 1000"," 1350"," 250"," ""2.5 - 5.5"""," 8.7"," 74"," 74"," 3.5"," 1"," 110"," 65"," 30"," In/Out"," Yes"," 7","  "," 8/PDIP 8/SOIC 150mil 8/TSSOP","$0.80"
"MCP6022"," In Production "," Yes"," Linear Op Amps"," 2"," 10000"," 1000"," 1350"," 250"," ""2.5 - 5.5"""," 8.7"," 74"," 74"," 3.5"," 1"," 110"," 65"," 30"," In/Out"," Yes"," 7","  "," 8/PDIP 8/SOIC 150mil 8/TSSOP","$0.98"
"MCP6H92"," In Production "," Yes"," Linear Op Amps"," 2"," 10000"," 2000"," 2800"," 4000"," ""3.5 - 12"""," 23"," 94"," 98"," 2.5"," 10"," 115"," 60"," 43"," Out"," Yes"," 10","  "," 8/SOIC 150mil 8/TDFN","$1.04"
"MCP6V91"," In Production "," Yes"," Linear High Precision Op Amps-Chopper Stabilized"," 1"," 10000"," 1100"," 1600"," 9"," ""2.4 - 5.5"""," 11"," 117"," 118"," 0.017"," 2"," 126"," 60"," 40"," In/Out"," Yes"," 9.5"," Yes"," 5/SOT-23","$1.04"
"MCP6V91U"," In Production "," Yes"," Linear High Precision Op Amps-Chopper Stabilized"," 1"," 10000"," 1100"," 1600"," 9"," ""2.4 - 5.5"""," 11"," 117"," 118"," 0.017"," 2"," 126"," 60"," 40"," In/Out"," Yes"," 9.5"," Yes"," 5/SOT-23 5/SC-70","$1.04"
"MCP6294"," In Production "," Yes"," Linear Op Amps"," 4"," 10000"," 1000"," 1300"," 3000"," ""2.4 - 6.0"""," 8.7"," 70"," 65"," 1.7"," 1"," 110"," 65"," 25"," In/Out"," Yes"," 7","  "," 14/PDIP 14/TSSOP 14/SOIC 150mil","$1.15"
"MCP6H94"," In Production "," Yes"," Linear Op Amps"," 4"," 10000"," 2000"," 2800"," 4000"," ""3.5 - 12"""," 23"," 94"," 98"," 2.5"," 10"," 115"," 60"," 43"," Out"," Yes"," 10","  "," 14/TSSOP 14/SOIC 150mil","$1.30"
"MCP6024"," In Production "," Yes"," Linear Op Amps"," 4"," 10000"," 1000"," 1350"," 250"," ""2.5 - 5.5"""," 8.7"," 74"," 74"," 3.5"," 1"," 110"," 65"," 30"," In/Out"," Yes"," 7","  "," 14/PDIP 14/TSSOP 14/SOIC 150mil","$1.41"
"MCP6V92"," In Production "," Yes"," Linear High Precision Op Amps-Chopper Stabilized"," 2"," 10000"," 1100"," 1600"," 9"," ""2.4 - 5.5"""," 11"," 117"," 118"," 0.017"," 2"," 126"," 60"," 40"," In/Out"," Yes"," 9.5"," Yes"," 8/MSOP 8/TDFN","$1.60"
"MCP6V94"," In Production "," Yes"," Linear High Precision Op Amps-Chopper Stabilized"," 4"," 10000"," 1100"," 1600"," 9"," ""2.4 - 5.5"""," 11"," 117"," 118"," 0.017"," 2"," 126"," 60"," 40"," In/Out"," Yes"," 9.5"," Yes"," 14/TSSOP","$2.83"
"MCP621S"," In Production "," Yes"," Linear Op Amps"," 1"," 20000"," 2500"," 3600"," 200"," ""2.5 - 5.5"""," 13"," 61"," 65"," 2"," 5"," 117"," 60"," 70"," Out"," Yes"," 10","  "," 5/SOT-23","$0.94"
"MCP623"," In Production "," Yes"," Linear Op Amps"," 1"," 20000"," 2500"," 3600"," 200"," ""2.5 - 5.5"""," 13"," 61"," 65"," 2"," 5"," 117"," 60"," 70"," Out"," Yes"," 10","  "," 6/SOT-23","$0.97"
"MCP621"," In Production "," Yes"," Linear Op Amps"," 1"," 20000"," 2500"," 3600"," 200"," ""2.5 - 5.5"""," 13"," 61"," 65"," 2"," 5"," 117"," 60"," 70"," Out"," Yes"," 10","  "," 8/SOIC 150mil 8/TDFN","$0.99"
"MCP622"," In Production "," Yes"," Linear Op Amps"," 2"," 20000"," 2500"," 3600"," 200"," ""2.5 - 5.5"""," 13"," 61"," 65"," 2"," 5"," 117"," 60"," 70"," Out"," Yes"," 10","  "," 8/SOIC 150mil 8/DFN","$1.22"
